time_s,temperature_K
0.00000000,174830.47538500
0.00000001,174721.31134628
0.00000002,174280.97027515
0.00000003,173520.79162915
0.00000004,172461.61488274
0.00000005,171132.81168964
0.00000006,169570.87694407
0.00000007,167817.71855989
0.00000008,165918.78716509
0.00000009,163921.16869736
0.00000010,161871.74891390
0.00000011,159815.55073797
0.00000012,157794.33207495
0.00000013,155845.50461094
0.00000014,154001.39410202
0.00000015,152288.81931395
0.00000016,150728.93166474
0.00000017,149337.23767520
0.00000018,148123.72520134
0.00000019,147093.03892933
0.00000020,146244.70316426
0.00000021,145573.44780959
0.00000022,145069.71307005
0.00000023,144720.36567828
0.00000024,144509.57695403
0.00000025,144419.74398040
0.00000026,144432.32570678
0.00000027,144528.52182953
0.00000028,144689.80357418
0.00000029,144898.35949646
0.00000030,145137.52325425
0.00000031,145392.21607588
0.00000032,145649.38802004
0.00000033,145898.39796637
0.00000034,146131.24832493
0.00000035,146342.60291924
0.00000036,146529.57007176
0.00000037,146691.30261368
0.00000038,146828.50836272
0.00000039,146942.95654353
0.00000040,147037.02741078
0.00000041,147113.31999168
0.00000042,147174.32545877
0.00000043,147222.18536791
0.00000044,147258.56550316
0.00000045,147284.66989284
0.00000046,147301.39328571
0.00000047,147309.57901894
0.00000048,147310.32815871
0.00000049,147305.29234296
0.00000050,147296.86936108
0.00000051,147288.22313323
0.00000052,147283.09447610
0.00000053,147285.44504200
0.00000054,147299.03298472
0.00000055,147327.01929859
0.00000056,147371.66324558
0.00000057,147434.12267149
0.00000058,147514.35237716
0.00000059,147611.08867874
0.00000060,147721.91024787
0.00000061,147843.36854443
0.00000062,147971.18562144
0.00000063,148100.52211130
0.00000064,148226.31682383
0.00000065,148343.68060883
0.00000066,148448.28979064
0.00000067,148536.69277189
0.00000068,148606.45700680
0.00000069,148656.15294609
0.00000070,148685.83704638
0.00000071,148695.18892570
0.00000072,148685.22245055
0.00000073,148657.67557598
0.00000074,148614.96561783
0.00000075,148560.07398949
0.00000076,148496.35397619
0.00000077,148427.29983937
0.00000078,148356.33708012
0.00000079,148286.68246760
0.00000080,148221.28686540
0.00000081,148163.13011736
0.00000082,148114.31039457
0.00000083,148076.84748613
0.00000084,148052.22982855
0.00000085,148041.12483737
0.00000086,148043.19537154
0.00000087,148057.08784166
0.00000088,148080.73044508
0.00000089,148111.36535207
0.00000090,148145.82981621
0.00000091,148181.07775207
0.00000092,148214.20415774
0.00000093,148242.57062198
0.00000094,148263.93193084
0.00000095,148276.54256408
0.00000096,148279.28650015
0.00000097,148271.95240595
0.00000098,148255.14134145
0.00000099,148230.49511382
0.00000100,148200.49384945
0.00000101,148168.16278866
0.00000102,148136.68767938
0.00000103,148109.03035458
0.00000104,148087.62563419
0.00000105,148074.16246651
0.00000106,148069.51374476
0.00000107,148073.81645520
0.00000108,148086.36767782
0.00000109,148105.81675318
0.00000110,148130.31110976
0.00000111,148157.79441403
0.00000112,148186.00002960
0.00000113,148212.63676637
0.00000114,148235.50701164
0.00000115,148252.87090113
0.00000116,148263.10169573
0.00000117,148264.95391231
0.00000118,148257.56686347
0.00000119,148240.41279426
0.00000120,148213.44450152
0.00000121,148176.89326222
0.00000122,148131.60868622
0.00000123,148079.17166548
0.00000124,148021.52954317
0.00000125,147961.06952884
0.00000126,147900.36656821
0.00000127,147841.93115137
0.00000128,147787.96207053
0.00000129,147740.53653696
0.00000130,147701.30603629
0.00000131,147671.79168197
0.00000132,147653.36049673
0.00000133,147646.91285509
0.00000134,147652.99411153
0.00000135,147671.20536095
0.00000136,147700.47820550
0.00000137,147739.03214729
0.00000138,147784.68867485
0.00000139,147834.53378851
0.00000140,147885.66902042
0.00000141,147935.29309776
0.00000142,147980.56854997
0.00000143,148019.06702094
0.00000144,148048.92106334
0.00000145,148068.94943997
0.00000146,148078.70992283
0.00000147,148078.78564775
0.00000148,148070.61741450
0.00000149,148056.41025395
0.00000150,148038.80212443
0.00000151,148020.49478741
0.00000152,148004.01447444
0.00000153,147991.80167845
0.00000154,147986.06605052
0.00000155,147988.46804989
0.00000156,147999.93841630
0.00000157,148020.63151048
0.00000158,148049.65976524
0.00000159,148085.26631082
0.00000160,148124.94541004
0.00000161,148165.92214639
0.00000162,148205.50473942
0.00000163,148241.68639058
0.00000164,148273.27462429
0.00000165,148299.65330003
0.00000166,148320.73920311
0.00000167,148336.61012351
0.00000168,148347.35442348
0.00000169,148353.00262121
0.00000170,148353.59874091
0.00000171,148349.37494079
0.00000172,148340.77733492
0.00000173,148328.46857788
0.00000174,148313.33522828
0.00000175,148296.39438084
0.00000176,148278.59936114
0.00000177,148260.90215545
0.00000178,148244.11828918
0.00000179,148228.91560898
0.00000180,148215.76160659
0.00000181,148204.93867824
0.00000182,148196.49394363
0.00000183,148190.25208100
0.00000184,148185.98847279
0.00000185,148183.57727255
0.00000186,148183.05217678
0.00000187,148184.74762149
0.00000188,148189.25376523
0.00000189,148197.27389986
0.00000190,148209.28508518
0.00000191,148225.49245130
0.00000192,148245.66342608
0.00000193,148268.97020129
0.00000194,148294.27355141
0.00000195,148320.26675888
0.00000196,148345.76592987
0.00000197,148370.03532943
0.00000198,148392.64861690
0.00000199,148413.37374812
0.00000200,148432.01590170
0.00000201,148448.20261972
0.00000202,148461.34796154
0.00000203,148470.59543519
0.00000204,148474.91483566
0.00000205,148473.54395905
0.00000206,148466.34191117
0.00000207,148453.21242130
0.00000208,148434.49387766
0.00000209,148411.24432255
0.00000210,148384.89014574
0.00000211,148357.05347953
0.00000212,148329.48434785
0.00000213,148303.88618200
0.00000214,148281.81096376
0.00000215,148264.45271366
0.00000216,148252.66703634
0.00000217,148246.90606582
0.00000218,148247.34150284
0.00000219,148253.90908086
0.00000220,148266.31039648
0.00000221,148284.07950866
0.00000222,148306.48807586
0.00000223,148332.63811052
0.00000224,148361.51464638
0.00000225,148392.08178920
0.00000226,148423.40995150
0.00000227,148454.80871638
0.00000228,148485.81885480
0.00000229,148516.19074082
0.00000230,148545.70504998
0.00000231,148574.07421183
0.00000232,148600.95843586
0.00000233,148625.92561798
0.00000234,148648.56475990
0.00000235,148668.48741849
0.00000236,148685.53966326
0.00000237,148699.34443189
0.00000238,148709.53466616
0.00000239,148715.81424741
0.00000240,148718.00667639
0.00000241,148716.06709683
0.00000242,148710.08646630
0.00000243,148700.49702752
0.00000244,148688.02773299
0.00000245,148673.64337815
0.00000246,148658.53774138
0.00000247,148644.00315772
0.00000248,148631.26964568
0.00000249,148621.28902068
0.00000250,148614.60447181
0.00000251,148611.32090714
0.00000252,148611.08494558
0.00000253,148613.23835663
0.00000254,148617.05612080
0.00000255,148621.99558135
0.00000256,148627.81209709
0.00000257,148634.38829220
0.00000258,148642.00835324
0.00000259,148651.26697979
0.00000260,148663.06324865
0.00000261,148678.52304072
0.00000262,148698.82582617
0.00000263,148724.70703357
0.00000264,148756.53142308
0.00000265,148794.02971550
0.00000266,148836.26185032
0.00000267,148881.75301570
0.00000268,148928.65014909
0.00000269,148974.98336248
0.00000270,149018.45133938
0.00000271,149056.89736693
0.00000272,149088.39871808
0.00000273,149111.45169146
0.00000274,149125.16854494
0.00000275,149129.46235518
0.00000276,149125.02623765
0.00000277,149113.13306905
0.00000278,149095.34344846
0.00000279,149073.26454966
0.00000280,149048.44516740
0.00000281,149022.37844175
0.00000282,148996.53336359
0.00000283,148972.30528016
0.00000284,148950.86949997
0.00000285,148933.02620374
0.00000286,148918.98536805
0.00000287,148908.31800350
0.00000288,148900.16406460
0.00000289,148893.48263619
0.00000290,148887.27625983
0.00000291,148880.90864132
0.00000292,148874.23188028
0.00000293,148867.52814219
0.00000294,148861.35213178
0.00000295,148856.26201347
0.00000296,148852.71999357
0.00000297,148850.93027630
0.00000298,148850.83605306
0.00000299,148852.12778470
0.00000300,148854.32898546
0.00000301,148856.87848240
0.00000302,148859.25217820
0.00000303,148860.98965723
0.00000304,148861.68959235
0.00000305,148861.01192068
0.00000306,148858.71019191
0.00000307,148854.78222114
0.00000308,148849.61885042
0.00000309,148844.02147006
0.00000310,148839.13730828
0.00000311,148836.22215326
0.00000312,148836.38848923
0.00000313,148840.38298659
0.00000314,148848.39976128
0.00000315,148860.02643619
0.00000316,148874.26720176
0.00000317,148889.68125448
0.00000318,148904.61520714
0.00000319,148917.15077511
0.00000320,148925.64417131
0.00000321,148928.88435797
0.00000322,148926.37434599
0.00000323,148918.56629534
0.00000324,148906.61491843
0.00000325,148892.55425191
0.00000326,148878.76271342
0.00000327,148867.32413878
0.00000328,148859.87146691
0.00000329,148857.36836463
0.00000330,148859.92944573
0.00000331,148867.16688832
0.00000332,148878.18785273
0.00000333,148891.73221674
0.00000334,148906.24405940
0.00000335,148919.89613164
0.00000336,148930.81466954
0.00000337,148937.32842157
0.00000338,148938.28577951
0.00000339,148933.30119943
0.00000340,148923.08188804
0.00000341,148909.40505590
0.00000342,148894.65539146
0.00000343,148881.97833025
0.00000344,148873.30867481
0.00000345,148870.68970100
0.00000346,148875.55266380
0.00000347,148888.48296047
0.00000348,148909.18728904
0.00000349,148936.68028125
0.00000350,148969.33303646
0.00000351,149005.08356041
0.00000352,149041.69019141
0.00000353,149077.05996889
0.00000354,149109.51527344
0.00000355,149137.96841994
0.00000356,149162.00849081
0.00000357,149181.93141154
0.00000358,149198.48477446
0.00000359,149212.79408525
0.00000360,149225.91254487
0.00000361,149238.68705179
0.00000362,149251.59006331
0.00000363,149264.60983346
0.00000364,149277.29133655
0.00000365,149288.89736135
0.00000366,149298.59654886
0.00000367,149305.67606283
0.00000368,149309.40853248
0.00000369,149309.46332557
0.00000370,149305.73381539
0.00000371,149298.30697702
0.00000372,149287.53302428
0.00000373,149273.88276647
0.00000374,149258.12305516
0.00000375,149241.26508390
0.00000376,149224.52195778
0.00000377,149209.25489449
0.00000378,149196.95724870
0.00000379,149188.91978133
0.00000380,149186.24900553
0.00000381,149189.62984014
0.00000382,149199.09163762
0.00000383,149213.89998836
0.00000384,149232.40042567
0.00000385,149252.37173397
0.00000386,149271.11201081
0.00000387,149286.01073251
0.00000388,149294.82404268
0.00000389,149295.88058251
0.00000390,149288.19646414
0.00000391,149271.41170612
0.00000392,149245.78468306
0.00000393,149211.56539079
0.00000394,149169.70075662
0.00000395,149121.76201148
0.00000396,149069.73789657
0.00000397,149016.22335599
0.00000398,148963.96519463
0.00000399,148915.59012797
0.00000400,148873.50711955
0.00000401,148839.69885468
0.00000402,148815.56016526
0.00000403,148801.88092153
0.00000404,148798.92378776
0.00000405,148806.48041799
0.00000406,148823.55848826
0.00000407,148848.47055950
0.00000408,148879.11496560
0.00000409,148912.94737383
0.00000410,148947.30485209
0.00000411,148979.74824599
0.00000412,149008.20959309
0.00000413,149031.14148717
0.00000414,149047.67638702
0.00000415,149057.70236410
0.00000416,149061.90636317
0.00000417,149061.71723646
0.00000418,149059.11224403
0.00000419,149056.52637662
0.00000420,149056.56721803
0.00000421,149061.68078302
0.00000422,149073.79067034
0.00000423,149094.10362368
0.00000424,149122.84455122
0.00000425,149159.19681922
0.00000426,149201.52534553
0.00000427,149247.32849966
0.00000428,149293.65061883
0.00000429,149337.32856506
0.00000430,149375.44975966
0.00000431,149405.77354543
0.00000432,149426.77735151
0.00000433,149437.78290220
0.00000434,149438.96470219
0.00000435,149431.29086557
0.00000436,149416.32671927
0.00000437,149395.97924922
0.00000438,149372.46729973
0.00000439,149347.92431996
0.00000440,149324.40348463
0.00000441,149303.78926457
0.00000442,149287.56523469
0.00000443,149277.05964501
0.00000444,149273.25601092
0.00000445,149276.81944581
0.00000446,149287.76638580
0.00000447,149305.52050081
0.00000448,149328.84984791
0.00000449,149356.03502138
0.00000450,149384.86469019
0.00000451,149413.14531009
0.00000452,149438.98934223
0.00000453,149461.18458898
0.00000454,149479.11840613
0.00000455,149492.66496069
0.00000456,149501.95960281
0.00000457,149507.16743454
0.00000458,149508.34332160
0.00000459,149505.40203101
0.00000460,149498.16904498
0.00000461,149486.36533969
0.00000462,149469.88501496
0.00000463,149448.81972494
0.00000464,149423.54558533
0.00000465,149394.78384767
0.00000466,149363.54349024
0.00000467,149331.08939847
0.00000468,149298.95207114
0.00000469,149268.83799664
0.00000470,149242.47822527
0.00000471,149221.47312224
0.00000472,149207.22101965
0.00000473,149200.86261625
0.00000474,149203.33103706
0.00000475,149215.03633756
0.00000476,149235.91616140
0.00000477,149265.07270596
0.00000478,149300.82233326
0.00000479,149340.93230163
0.00000480,149382.21614478
0.00000481,149420.93059291
0.00000482,149453.71144866
0.00000483,149477.59128392
0.00000484,149490.32842766
0.00000485,149490.53406584
0.00000486,149477.73163908
0.00000487,149452.27727077
0.00000488,149415.25960538
0.00000489,149368.41785756
0.00000490,149314.08058028
0.00000491,149254.83809443
0.00000492,149193.45825956
0.00000493,149132.65557497
0.00000494,149074.84333265
0.00000495,149022.05366945
0.00000496,148975.89349107
0.00000497,148937.62477004
0.00000498,148907.99023105
0.00000499,148887.41842338
0.00000500,148876.00809901
